,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19,Z_20,Z_21,Z_22,Z_23,Z_24,Z_25,Z_26,Z_27,Z_28,Z_29,Z_30,Z_31,Z_32
10,-5.2640837e-05,-2.1063595e-11,3.1070325e-05,2.819638e-06,3.3255658e-06,3.799414e-10,-6.8528e-05,4.8315574e-11,0.0012514659,-5.428659e-12,6.6934014e-11,-8.994584e-06,-0.0018387124,-1.6299964e-12,1.2446783e-05,0.0007569329,5.341061e-12,-2.273453e-11,-3.6653444e-05,1.9146254e-11,2.0011312e-05,1.1295853e-11,-3.4019104e-11,1.781815e-05,0.0001735883,-4.196841e-05,6.165915e-05,-2.842171e-12,2.164712e-12,-7.672133e-06,-3.4304823e-05,5.9504324e-05
11,-5.2640837e-05,-2.0998314e-11,3.107032e-05,2.8166576e-06,3.3255653e-06,3.8244252e-10,-6.8528e-05,4.8326454e-11,0.0012514659,-5.423315e-12,6.2501115e-11,-8.994584e-06,-0.0018387124,-1.6295993e-12,1.244673e-05,0.0007569329,5.774936e-12,-2.2756255e-11,-3.6653444e-05,1.9146618e-11,2.0011314e-05,1.0761614e-11,-3.4036326e-11,1.7818124e-05,0.0001735883,-4.196841e-05,6.1661085e-05,-3.2969183e-12,5.2954056e-12,-7.672127e-06,-3.4304823e-05,5.9504324e-05
12,-5.2640837e-05,-2.1044277e-11,3.1070325e-05,2.81963e-06,3.3255658e-06,3.8062353e-10,-6.8528e-05,4.831935e-11,0.0012514659,-5.417757e-12,6.4690475e-11,-8.994584e-06,-0.0018387124,-1.6298612e-12,1.2446754e-05,0.0007569329,5.50493e-12,-2.2755658e-11,-3.6653444e-05,1.9146388e-11,2.0011314e-05,1.1085355e-11,-3.402592e-11,1.781814e-05,0.0001735883,-4.196841e-05,6.1659826e-05,-3.0695446e-12,2.0141328e-12,-7.672131e-06,-3.4304823e-05,5.9504324e-05
13,-5.2640837e-05,-2.1062263e-11,3.1070325e-05,2.8196378e-06,3.3255658e-06,3.799414e-10,-6.8528e-05,4.8315796e-11,0.0012514659,-5.4287018e-12,6.6879835e-11,-8.994584e-06,-0.0018387124,-1.6299862e-12,1.2446783e-05,0.0007569329,5.355494e-12,-2.2735036e-11,-3.6653444e-05,1.9146261e-11,2.0011312e-05,1.12923e-11,-3.4019544e-11,1.7818149e-05,0.0001735883,-4.196841e-05,6.165923e-05,-3.0695446e-12,2.2090203e-12,-7.672133e-06,-3.4304823e-05,5.9504324e-05
14,-5.2640837e-05,-2.1105118e-11,3.1070325e-05,2.8195138e-06,3.3255658e-06,3.7789505e-10,-6.8528e-05,4.830758e-11,0.0012514659,-5.4539966e-12,7.2111206e-11,-8.994584e-06,-0.0018387124,-1.6302818e-12,1.24468515e-05,0.0007569329,5.0107696e-12,-2.2685416e-11,-3.6653444e-05,1.9145959e-11,2.0011312e-05,1.1798562e-11,-3.40047e-11,1.7818173e-05,0.0001735883,-4.196841e-05,6.165777e-05,-2.3874236e-12,2.5579044e-12,-7.672136e-06,-3.4304823e-05,5.9504324e-05
15,-5.2640837e-05,-2.1149527e-11,3.1070325e-05,2.8196196e-06,3.3255658e-06,3.7607606e-10,-6.8528e-05,4.8299365e-11,0.0012514659,-5.479261e-12,7.736034e-11,-8.994584e-06,-0.0018387124,-1.6305928e-12,1.2446918e-05,0.0007569329,4.634515e-12,-2.2637073e-11,-3.6653444e-05,1.9145656e-11,2.0011312e-05,1.22732935e-11,-3.3988944e-11,1.7818196e-05,0.0001735883,-4.196841e-05,6.165625e-05,-2.16005e-12,2.9848008e-12,-7.67214e-06,-3.4304823e-05,5.950432e-05
16,-5.2640837e-05,-2.0998536e-11,3.107032e-05,2.8166842e-06,3.3255653e-06,3.8244252e-10,-6.8528e-05,4.8326454e-11,0.0012514659,-5.423161e-12,6.2510885e-11,-8.994584e-06,-0.0018387124,-1.6296014e-12,1.244673e-05,0.0007569329,5.7733818e-12,-2.275648e-11,-3.6653444e-05,1.9146617e-11,2.0011314e-05,1.07651665e-11,-3.4036246e-11,1.7818124e-05,0.0001735883,-4.196841e-05,6.166108e-05,-3.2969183e-12,5.252898e-12,-7.672127e-06,-3.4304823e-05,5.9504324e-05
17,-5.2640837e-05,-2.128031e-11,3.1070325e-05,2.8193413e-06,3.325566e-06,3.7039172e-10,-6.8528e-05,4.8274273e-11,0.0012514659,-5.55623e-12,9.3117514e-11,-8.994584e-06,-0.0018387124,-1.6314979e-12,1.2447124e-05,0.0007569329,3.5585979e-12,-2.2488691e-11,-3.6653444e-05,1.9144741e-11,2.001131e-05,1.3774315e-11,-3.3943088e-11,1.7818265e-05,0.0001735883,-4.196841e-05,6.165182e-05,-9.094947e-13,4.2062725e-12,-7.67215e-06,-3.4304823e-05,5.950432e-05
18,-5.2640837e-05,-2.0993873e-11,3.107032e-05,2.8162945e-06,3.3255653e-06,3.8244252e-10,-6.8528e-05,4.8327342e-11,0.0012514659,-5.4245428e-12,6.2394534e-11,-8.994584e-06,-0.0018387124,-1.6295767e-12,1.2446728e-05,0.0007569329,5.79925e-12,-2.2755107e-11,-3.6653444e-05,1.9146637e-11,2.0011314e-05,1.0738077e-11,-3.4037197e-11,1.7818122e-05,0.0001735883,-4.196841e-05,6.166119e-05,-3.2969183e-12,5.6817008e-12,-7.672127e-06,-3.4304823e-05,5.9504324e-05
19,-5.2640837e-05,-2.0995428e-11,3.107032e-05,2.8164047e-06,3.3255653e-06,3.8244252e-10,-6.8528e-05,4.832712e-11,0.0012514659,-5.42411e-12,6.2428285e-11,-8.994584e-06,-0.0018387124,-1.6295836e-12,1.2446729e-05,0.0007569329,5.7915894e-12,-2.2755606e-11,-3.6653444e-05,1.914663e-11,2.0011314e-05,1.0745627e-11,-3.403691e-11,1.7818122e-05,0.0001735883,-4.196841e-05,6.166116e-05,-3.2969183e-12,5.554667e-12,-7.672127e-06,-3.4304823e-05,5.9504324e-05
20,-5.2640837e-05,-2.102385e-11,3.107032e-05,2.8187285e-06,3.3255656e-06,3.8130565e-10,-6.8528e-05,4.8322457e-11,0.0012514659,-5.41611e-12,6.313705e-11,-8.994584e-06,-0.0018387124,-1.6297323e-12,1.2446739e-05,0.0007569329,5.6336047e-12,-2.2763007e-11,-3.6653444e-05,1.91465e-11,2.0011314e-05,1.0906831e-11,-3.4031177e-11,1.781813e-05,0.0001735883,-4.196841e-05,6.1660445e-05,-3.1832315e-12,3.0330027e-12,-7.67213e-06,-3.4304823e-05,5.9504324e-05
